name,comics,description
Cap'n Oz,0,"William was born into the ClanDestine, making him a creature that is part magic.  After events surrounding the death of his brother Vincent, he moved to Australia where he started an acting career as the superhero Cap'n Oz."
Captain America,1986,"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty."
Captain America (House of M),3,
Captain America (LEGO Marvel Super Heroes),0,
Captain America (Marvel War of Heroes),0,
Captain America (Sam Wilson),42,"<p class=""Body"">Sam Wilson, a Harlem native, previously operated under the name Falcon, fighting alongside the Avengers. When his longtime friend Steve Rogers stepped down as Captain America, Wilson was hand-picked to fill the role. Now the former Falcon soars through the skies wearing red, white and blue.</p>"
Captain America (Ultimate),38,
Captain America/Steve Rogers (MAA),0,"During World War II, Steve Rogers enlisted in the military and was injected with a super-serum that turned him into super-soldier Captain America! He's a skilled strategist and even more skilled with his shield, but it's his courage and good heart that makes Captain America both a leader and a true hero. "
Captain Britain,132,
Captain Britain (Ultimate),0,
Captain Cross,0,
Captain Flint,1,
Captain Marvel (Carol Danvers),429,
Captain Marvel (Genis-Vell),0,
Captain Marvel (Mar-Vell),163,
Captain Marvel (Monica Rambeau),26,
Captain Marvel (Phyla-Vell),0,
Captain Midlands,0,
Captain Stacy,10,NYPD Captain George Stacy was the father of one-time Peter Parker girlfriend Gwen Stacy.
Captain Universe,20,
Cardiac,9,
Caretaker,4,
Cargill,1,
Carlie Cooper,69,
Carmella Unuscione,11,Carmella Unuscione was one of the first members of the Magneto's Acolytes.
Carnage,61,
Carnage (Ultimate),7,
Carol Danvers,7,
Carol Hines,0,
Cassandra Nova,5,
Catseye,1,
Cecilia Reyes,20,
Celestials,15,
Centennial,2,
Centurions,0,
Cerebro,7,
Cerise,2,
Ch'od,39,
Chamber,41,
Chameleon,37,
Champions,34,
Changeling,0,
Charles Xavier,65,
Charlie Campion,0,
Chase Stein,10,Chase Stein is the son of mad scientists Victor and Janet Stein and is the tech genius of the Runaways.
Chat,0,
Chimera,6,
Chores MacGillicudy,1,
Christian Walker,2,
Chronomancer,3,
ClanDestine,18,
Clea,73,
Clea (Ultimate),2,
Clint Barton,25,
Cloak,75,
Cloud 9,17,
Cobalt Man,1,
Colleen Wing,57,"Colleen Wing was raised in Japan by her grandfather Kanji Ozawa, who taught her the ways of a samurai, in which she became highly skilled, after which she teamed up with Misty Knight at the behest of Tony Stark as a new Heroes for Hire tasked with capturing superhumans who have not registered."
Colonel America,0,
Colossus,648,
Colossus (Ultimate),42,
Confederates of the Curious,1,
Constrictor,33,
Contessa (Vera Vidal),1,
Controller,8,
Cornelius,0,
Corsair,28,
Cosmo (dog),7,
Cottonmouth,2,
Count Nefaria,30,
Countess,1,
Crimson Crusader,0,
Crimson Dynamo,32,
Crimson Dynamo (Iron Man 3 - The Official Game),0,
Crimson King,0,
Crossbones,46,
Crule,7,
Crusher Hogan,3,
Crusher Hogan (Ultimate),4,
Crystal,96,
Cuckoo,0,
Curt Conners,18,
Cuthbert,0,
Cyber,21,
Cyclops,890,
Cyclops (Ultimate),44,
Cyclops (X-Men: Battle of the Atom),0,
Cypher,17,
D'Ken Neramani,2,
Dagger,70,
Daily Bugle,2,
Daimon Hellstrom,39,
Daken,72,
Dakota North,12,
Damage Control,16,
Dani Moonstar,40,
Danny Rand,1,
Daredevil,938,"Abandoned by his mother, Matt Murdock was raised by his father, boxer ""Battling Jack"" Murdock, in Hell's Kitchen. Realizing that rules were needed to prevent people from behaving badly, young Matt decided to study law; however, when he saved a man from an oncoming truck, it spilled a radioactive cargo that rendered Matt blind while enhancing his remaining senses. Under the harsh tutelage of blind martial arts master Stick, Matt mastered his heightened senses and became a formidable fighter."
Daredevil (LEGO Marvel Super Heroes),0,
Daredevil (Marvel Heroes),0,
Daredevil (Ultimate),17,
Dargo Ktor,1,
Dark Avengers,56,
Dark Beast,10,
Dark Phoenix,19,
Dark X-Men,7,
Darkhawk,24,
Darkstar,21,
Darwin,10,
Dazzler,193,
Dazzler (Ultimate),0,
Deacon Frost,0,
Dead Girl,12,
Deadpool,693,
Deadpool (Deadpool),0,
Deadpool (LEGO Marvel Super Heroes),0,
Deadpool (X-Men: Battle of the Atom),0,
Death,24,
Deathbird,33,
Deathcry,5,
Deathlok,84,&nbsp;
Deathstrike (Ultimate),2,
Debra Whitman,1,
Debrii,6,
Deena Pilgrim,3,
Defenders,187,
Demogoblin,5,"Jason Macendale, the newest Hobgoblin was down on his luck and offered the demon N'astirh his soul in exchange for power during the  Inferno crisis, turning him into the Demogoblin."
Destiny,41,
Detective Soap,3,
Deviants,6,
Devil Dinosaur (Devil Dinosaur),41,
Devil Dinosaur (HAS),0,"They say a dog is man's best friend, so naturally Hulk's best friend is a T-Rex! Devil Dinosaur is the team's trusty prehistoric pet that occasionally lends his massive jaws to the fight. Although he's got tiny arms, Devil's got a big heart and an even bigger bite!"
Devos,1,
Dexter Bennett,3,
Diablo,23,
Diamondback (Rachel Leighton),42,
Dinah Soar,4,
Dirk Anger,0,
Doc Samson,70,
Doctor Doom,271,
Doctor Doom (Ultimate),5,
Doctor Faustus,8,
Doctor Octopus,129,
Doctor Octopus (Ultimate),17,
Doctor Spectrum,22,
Doctor Strange,644,
Doctor Strange (Ultimate),10,
Dog Brother #1,9,
Domino,211,
Donald Blake,5,
Doomsday Man,3,
Doop,32,
Doorman,6,
Dorian Gray,0,
Dormammu,51,
Dormammu (Ultimate),2,
Dr. Strange (Marvel: Avengers Alliance),0,
Dracula,48,
Dragon Lord,3,
Dragon Man,33,
Drax,51,
Dreadnoughts,2,
Dreaming Celestial,3,
Druig,0,
Dum Dum Dugan,34,
Dust,9,
Earthquake,7,
Echo,30,
Eddie Brock,91,
Eddie Lau,0,
"Edward ""Ted"" Forrester",2,
Edwin Jarvis,89,
Ego,13,
Electro,81,
Electro (Ultimate),7,
Elektra,140,
Elektra (Ultimate),8,
Elements of Doom,1,
Elite,1,
Elixir,15,
Elloe Kaifi,3,
Elsa Bloodstone,24,
Emma Frost,349,
Empath,14,
Emplate,9,
Enchantress (Amora),20,
Enchantress (Sylvie Lushton),2,
Ender Wiggin,5,
Energizer,6,
Epoch,0,
Erik the Red,5,
Eternals,49,
Eternity,16,
Excalibur,172,
Exiles,111,
Exodus,24,
Expediter,0,
Ezekiel,8,
Ezekiel Stane,14,
Fabian Cortez,3,
Falcon,183,"With a mental connection to all birds and a suit that gives him wings to fly, The Falcon has been both the partner to Captain America and an Avenger himself. Whether as a super hero or in his secret identity of social worker Sam Wilson, The Falcon dedicates his life to standing up for others."
Falcon/Sam Wilson (MAA),0,"Recruited from S.H.I.E.L.D. by his hero and mentor Tony Stark, Falcon is the Avengers' newest and youngest recruit. Like Tony, Sam is a genius with machines and technology. What he lacks in experience, Sam makes up in enthusiasm and determination. Falcon's suit of armor comes fully stocked with holographic wings, explosive flechettes, and retractable talons."
Fallen One,0,
Famine,15,
Fantastic Four,1187,"After being exposed to cosmic rays, Reed Richards, Susan Storm, Ben Grimm and Johnny Storm found they had amazing new powers. Reed Richards found he has the ability to stretch his body in any way he wanted, while Susan Storm can turn herself, objects and other people invisible. Ben Grimm transformed into a rocky, super-strong behemoth and Johnny Storm has the ability to set himself on fire. Dubbed the Fantastic Four, Mr. Fantastic, Invisible Woman, Thing and the Human Torch are Marvel's First Family."
Fantastic Four (Ultimate),33,
Fantastick Four,0,
Fantomex,52,
Fat Cobra,14,
Felicia Hardy,2,
Fenris,5,
Feral,5,
Fin Fang Foom,27,
Firebird,28,
Firebrand,7,
Firedrake,0,
Firelord,34,
Firestar,90,
Firestar (Ultimate),3,
Fixer (Paul Norbert Ebersol),6,
Flatman,6,
Flying Dutchman,0,
Foggy Nelson,34,
Force Works,10,
Forearm,22,
Forge,134,
Forge (Ultimate),3,
Forgotten One,2,
Frank Castle,4,
Frankenstein's Monster,26,
Franklin Richards,36,"The son of Reed Richards and Susan Storm of the Fantastic Four, Franklin may one day be the most powerful person on Earth. Right now, he's the son of a genius who finds adventure and fun around every corner."
Franklin Storm,0,Franklin Storm was the father of Susan and Johnny Storm.
Freak,6,
Frightful Four,5,
Frog Thor,2,
Frog-Man,2,
Gabe Jones,0,
Galactus,149,
Galia,0,
Gambit,402,
Gamma Corps,0,
Gamora,43,
Gamora (Marvel War of Heroes),0,
Gargoyle,4,
Gargoyle (Yuri Topolov),1,
Garia,0,
Garrison Kane,18,
Gateway,29,
Gauntlet (Joseph Green),30,
Geiger,0,
Gene Sailors,0,
Generation X,94,
Genesis,16,
Genis-Vell,0,
George Stacy (Ultimate),9,
Gertrude Yorkes,8,
Ghost Rider (Daniel Ketch),43,
Ghost Rider (Johnny Blaze),258,
Ghost Rider (Marvel War of Heroes),0,
Giant Girl,2,
Giant Man,38,
Giant-dok,0,
Giant-Man (Ultimate),8,
Gideon,16,
Git Hoskins,0,
Gladiator (Kallark),77,
Gladiator (Melvin Potter),2,
Glenn Talbot,2,"Major Glenn Talbot was member of United States Air Force, United States Army and Hulkbusters."
Glorian,3,
Goblin Queen,9,
Golden Guardian,0,
